h,Tao,Region,B_de_reglas,M_de_inf,U_de_acept,F_de_acept,x1,x2,x3,x4,x5,x6,x7,Fobj
0.5,0,5,B2,M,U,Li,2.812627624,0.295270428,0.142982624,4.401962856,4.526293812,0.68534879,4.812775137,0.564309301
0.5,0,5,B2,L,A,Cu,2.834391456,0.88015873,0.083656977,4.987591866,1.440767658,0.690396284,4.940005579,0.558337049
0.5,0,5,B2,M,A,Cu,3.447716613,0.308920788,0.226421624,4.524456341,2.758252852,3.66646413,2.570058364,0.566194342
0.5,0,5,B2,L,U,Cu,1.637628349,0.704925817,0.062878045,3.865023395,1.948830225,1.509596237,3.971336312,0.567112899
0.5,0,5,B2,M,U,Cu,2.385501434,0.385137929,0.136779312,4.668797566,4.019504404,2.960957615,3.867200164,0.552883157
0.5,0,5,B2,L,A,Ex,4.173608997,0.644887624,0.207441845,4.090575632,2.821144156,2.759200686,3.675416126,0.564207077
0.5,0,5,B2,M,A,Ex,2.999947228,0.333399853,0.190313654,4.895214724,2.177914152,2.632745122,3.262275023,0.55842868
0.5,0,5,B2,L,U,Ex,1.479821021,0.722000496,0.062402493,3.793727866,4.219530466,0.969759498,1.269063396,0.569809791
0.5,0,5,B2,M,U,Ex,2.769611107,0.344770919,0.168242598,4.990863322,4.255845462,3.199958999,4.645876252,0.555094624
0.5,0,5,B2,L,A,Lo,3.412682611,0.502870643,0.186816632,4.177125296,1.601436928,4.288055126,3.94129974,0.56009425
0.5,0,5,B2,M,A,Lo,4.519295084,0.529064886,0.236859717,4.24835907,4.321476209,0.75610172,3.141928902,0.562305853
0.5,0,5,B2,L,U,Lo,1.244360817,0.329075427,4.999999954,4.794615835,1.638639796,0.47749678,2.399486955,0.582810303
0.5,0,5,B2,M,U,Lo,1.561240913,0.407000595,4.999999863,4.805555233,1.646435223,0.142383312,3.795824334,0.582822511
0.5,0.5,1,B1,L,A,Li,0.258758863,3.563023594,4.427859181,1.156024855,0.560869936,0.781765863,0.753081476,1.808409156
0.5,0.5,1,B1,M,A,Li,1.693223013,1.766782467,0.966998348,1.226898501,0.566671474,0.530000862,4.9781615,1.811792981
0.5,0.5,1,B1,L,U,Li,0.352975182,4.028547489,4.689419732,1.439135205,0.596545297,1.128487859,1.201484373,1.80755686
0.5,0.5,1,B1,M,U,Li,0.143943374,4.869851282,2.587891955,0.070171713,0.697786727,0.01926425,2.894640773,1.751685281
0.5,0.5,1,B1,L,A,Cu,0.327771065,3.4240836,4.212391284,1.216432002,0.561809323,0.804983449,1.30755128,1.806397375
0.5,0.5,1,B1,M,A,Cu,1.412328243,0.600536459,0.305405493,0.928542924,0.560791447,0.27697461,4.962280899,1.802507835
0.5,0.5,1,B1,L,U,Cu,0.560384078,4.94540024,0.476070677,0.536770686,0.80434466,3.188977349,4.812198977,1.798648193
0.5,0.5,1,B1,M,U,Cu,0.461113058,3.964054558,3.172006992,0.462992541,0.817919965,3.377776752,1.836966909,1.779632005
0.5,0.5,1,B1,L,A,Ex,0.386439132,3.848022213,4.581602533,1.413178202,0.559423866,0.890580093,1.727417027,1.808841481
0.5,0.5,1,B1,M,A,Ex,0.924653232,0.805532518,0.40223419,0.66780284,0.568000969,0.3111327,3.62162176,1.809060112
0.5,0.5,1,B1,L,U,Ex,0.59235106,2.030392414,4.438341906,0.49000947,0.822738414,2.371429661,4.303744842,1.777008587
0.5,0.5,1,B1,M,U,Ex,0.565866578,0.656404543,0.305608613,0.470643567,0.720866575,0.578133666,3.815980255,1.798943978
0.5,0.5,1,B1,L,A,Lo,0.291556464,3.849775454,4.201479921,1.317081087,0.560391736,0.899078978,0.791074202,1.80704844
0.5,0.5,1,B1,M,A,Lo,1.776616615,2.654580749,1.39629956,1.19408671,0.566672741,0.368608374,4.786659833,1.815244697
0.5,0.5,1,B1,L,U,Lo,0.430860196,4.939874077,1.376514374,0.18091698,0.7415641,0.004896871,4.554539769,1.738147345
0.5,0.5,1,B1,M,U,Lo,0.419736453,4.266889574,2.221763254,0.183888141,0.730610203,0.0073006,4.036540495,1.74496706
0.5,0.5,1,B2,L,A,Li,1.233196627,0.114027435,2.08453594,4.648730791,2.788665354,0.471662681,4.452915703,1.738544709
0.5,0.5,1,B2,M,A,Li,1.220801902,0.109109283,3.968701116,4.99999996,4.006318971,0.344157329,4.935590559,1.734193668
0.5,0.5,1,B2,L,U,Li,0.837187314,0.081145057,1.216578302,1.700314396,3.391063002,0.075378987,2.710597462,1.73359861
0.5,0.5,1,B2,M,U,Li,1.230972249,0.11906326,4.950287902,4.999993931,4.381130534,0.120599513,4.742605342,1.732096013
0.5,0.5,1,B2,L,A,Cu,1.692266495,1.128532173,0.828813651,4.836451501,3.064305898,4.130012588,4.970698653,1.727121284
0.5,0.5,1,B2,M,A,Cu,1.01517579,0.110323636,0.64832111,4.999991129,3.370191094,0.505442957,4.975362791,1.756100035
0.5,0.5,1,B2,L,U,Cu,0.49408703,0.051672012,0.304876715,4.999986732,2.232642348,0.084695568,3.324811952,1.755417908
0.5,0.5,1,B2,M,U,Cu,0.45143937,0.040772218,0.526628672,4.999918853,4.428597538,0.022988701,4.40474249,1.746035641
0.5,0.5,1,B2,L,A,Ex,0.927990886,0.093328705,0.786270731,4.999998331,4.194289259,0.359140575,4.406847747,1.749950257
0.5,0.5,1,B2,M,A,Ex,0.651723116,0.062858611,0.731496126,4.999402208,3.875467907,0.250798164,4.045900396,1.749783283
0.5,0.5,1,B2,L,U,Ex,0.806040748,0.082646037,0.57767038,4.999998988,3.70956398,0.122208435,4.764705363,1.751941678
0.5,0.5,1,B2,M,U,Ex,0.940525006,0.100303184,0.652089593,4.980691332,3.061942788,0.221535583,4.21453616,1.752888523
0.5,0.5,1,B2,L,A,Lo,1.647194644,0.154950119,3.387130807,3.323315285,3.071044381,0.532350943,3.103851861,1.732430475
0.5,0.5,1,B2,M,A,Lo,2.82319609,0.271621206,4.188988105,3.556932545,4.830427386,0.697417028,4.709907589,1.731752819
0.5,0.5,1,B2,L,U,Lo,1.066396598,0.553565005,0.517931854,1.797138062,3.660700639,3.558662293,4.196077966,1.74515634
0.5,0.5,1,B2,M,U,Lo,1.426330786,0.179245499,2.392153928,4.736267695,4.010026467,0.195926514,4.83372701,1.766724097
0.5,0.5,2,B1,L,A,Li,1.62837791,3.090548441,0.441352253,0.28764968,0.565137062,0.055766368,4.91758076,1.415929207
0.5,0.5,2,B1,M,A,Li,1.658178935,2.957511852,0.4405271,0.294715217,0.565997389,0.058575334,4.969598636,1.416226823
0.5,0.5,2,B1,L,U,Li,0.750099205,4.90118042,1.261540373,0.2794114,0.638082149,0.032632137,4.953602525,1.428400695
